
Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
PnP,0035-0034,16:41:11.656,4.788452 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB94C10h,Success
PnP,0036-0033,16:41:11.656,4.788454 s,6 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB94C10h,Success
URB,0037,16:41:11.656,4.788466 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
URB,0038-0037,16:41:11.656,4.788641 s,175 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Success (Success),26 03 52 00
URB,0039,16:41:11.656,4.788652 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
URB,0040-0039,16:41:11.657,4.789020 s,368 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00 69 00 76 00...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Success (Success),26 03 52 00 69 00 76 00 61 00 6C 00 20 00 47 00 61 00 6D 00 69 00 6E 00 67 00 20 00 4D 00 6F 00 75 00 73 00 65 00
PnP,0041,16:41:11.657,4.789139 s,,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB7CC10h,
PnP,0042,16:41:11.657,4.789142 s,,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB7CC10h,
PnP,0043-0042,16:41:11.657,4.789145 s,3 us,Query ID,Hardware IDs,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800AB7CC10h,Success
PnP,0044-0041,16:41:11.657,4.789148 s,9 us,Query ID,Hardware IDs,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800AB7CC10h,Success
PnP,0045,16:41:11.657,4.789522 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B3E8010h,
PnP,0046,16:41:11.657,4.789524 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B3E8010h,
PnP,0047-0046,16:41:11.657,4.789526 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B3E8010h,Success
PnP,0048-0045,16:41:11.657,4.789528 s,7 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B3E8010h,Success
PnP,0049,16:41:11.657,4.789553 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B7A5720h,
PnP,0050,16:41:11.657,4.789555 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B7A5720h,
PnP,0051-0050,16:41:11.657,4.789557 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B7A5720h,Success
PnP,0052-0049,16:41:11.657,4.789558 s,6 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800B7A5720h,Success
PnP,0053,16:41:11.657,4.789582 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009937A00h,
PnP,0054,16:41:11.657,4.789584 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009937A00h,
PnP,0055-0054,16:41:11.657,4.789586 s,2 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009937A00h,Success
PnP,0056-0053,16:41:11.657,4.789587 s,6 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA8009937A00h,Success
URB,0057,16:41:11.657,4.789597 s,,Get Descriptor from Device,Str ind:2,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,
URB,0058-0057,16:41:11.657,4.789767 s,170 us,Control Transfer,Get Descriptor (Str ind:2),26 03 52 00,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA8009908010h,Success (Success),26 03 52 00
